binned_lat,binned_lon,type,subtype,count
41.76,-87.63,JAM,JAM_HEAVY_TRAFFIC,825
41.81,-87.76,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,819
41.98,-87.8,JAM,JAM_STAND_STILL_TRAFFIC,815
41.98,-87.83,JAM,JAM_HEAVY_TRAFFIC,813
41.88,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,807
41.95,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,799
41.93,-87.72,JAM,JAM_STAND_STILL_TRAFFIC,799
41.91,-87.68,JAM,JAM_STAND_STILL_TRAFFIC,798
41.72,-87.63,JAM,JAM_HEAVY_TRAFFIC,791
41.99,-87.77,JAM,JAM_STAND_STILL_TRAFFIC,786
41.86,-87.62,JAM,JAM_HEAVY_TRAFFIC,784
41.94,-87.71,JAM,JAM_HEAVY_TRAFFIC,781
41.98,-87.76,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,780
41.97,-87.76,JAM,JAM_STAND_STILL_TRAFFIC,780
41.98,-87.75,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,780
41.83,-87.67,JAM,JAM_HEAVY_TRAFFIC,775
41.88,-87.62,JAM,JAM_HEAVY_TRAFFIC,770
41.89,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,770
41.73,-87.63,JAM,JAM_HEAVY_TRAFFIC,769
41.83,-87.7,JAM,JAM_HEAVY_TRAFFIC,768
41.87,-87.75,JAM,JAM_HEAVY_TRAFFIC,765
41.74,-87.63,JAM,JAM_HEAVY_TRAFFIC,762
41.87,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,748
41.79,-87.64,JAM,JAM_HEAVY_TRAFFIC,746
41.99,-87.68,JAM,JAM_HEAVY_TRAFFIC,745
41.83,-87.69,JAM,JAM_HEAVY_TRAFFIC,745
41.87,-87.66,JAM,JAM_HEAVY_TRAFFIC,735
41.83,-87.7,JAM,JAM_STAND_STILL_TRAFFIC,727
41.89,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,726
41.81,-87.64,JAM,JAM_HEAVY_TRAFFIC,725
41.91,-87.66,JAM,JAM_HEAVY_TRAFFIC,721
41.91,-87.63,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,719
41.81,-87.63,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,717
41.69,-87.6,JAM,JAM_HEAVY_TRAFFIC,712
41.81,-87.6,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,707
41.87,-87.66,JAM,JAM_STAND_STILL_TRAFFIC,695
41.89,-87.64,JAM,JAM_HEAVY_TRAFFIC,694
41.87,-87.75,JAM,JAM_STAND_STILL_TRAFFIC,694
41.82,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,692
41.93,-87.72,JAM,JAM_HEAVY_TRAFFIC,689
41.75,-87.63,JAM,JAM_HEAVY_TRAFFIC,686
41.87,-87.67,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,684
41.78,-87.64,JAM,JAM_HEAVY_TRAFFIC,683
41.97,-87.76,JAM,JAM_HEAVY_TRAFFIC,683
41.67,-87.6,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,680
41.93,-87.68,JAM,JAM_STAND_STILL_TRAFFIC,678
41.87,-87.68,JAM,JAM_HEAVY_TRAFFIC,677
41.87,-87.73,JAM,JAM_HEAVY_TRAFFIC,676
41.95,-87.65,JAM,JAM_HEAVY_TRAFFIC,670
41.91,-87.68,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,654
41.93,-87.68,JAM,JAM_HEAVY_TRAFFIC,642
41.77,-87.63,JAM,JAM_HEAVY_TRAFFIC,637
41.94,-87.71,JAM,JAM_STAND_STILL_TRAFFIC,636
41.8,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,632
41.98,-87.76,JAM,JAM_HEAVY_TRAFFIC,626
41.98,-87.66,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,626
41.84,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,621
41.71,-87.59,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,617
41.87,-87.72,JAM,JAM_HEAVY_TRAFFIC,617
41.92,-87.7,JAM,JAM_STAND_STILL_TRAFFIC,615
41.79,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,607
41.83,-87.68,JAM,JAM_STAND_STILL_TRAFFIC,607
41.7,-87.6,JAM,JAM_HEAVY_TRAFFIC,604
41.92,-87.64,JAM,JAM_HEAVY_TRAFFIC,603
41.98,-87.76,JAM,JAM_STAND_STILL_TRAFFIC,600
41.93,-87.64,JAM,JAM_HEAVY_TRAFFIC,600
41.87,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,597
41.88,-87.65,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,596
41.82,-87.72,JAM,JAM_HEAVY_TRAFFIC,596
41.87,-87.68,JAM,JAM_STAND_STILL_TRAFFIC,595
41.87,-87.69,JAM,JAM_HEAVY_TRAFFIC,595
41.91,-87.63,JAM,JAM_HEAVY_TRAFFIC,593
41.87,-87.73,JAM,JAM_STAND_STILL_TRAFFIC,591
41.81,-87.74,JAM,JAM_HEAVY_TRAFFIC,588
41.87,-87.78,JAM,JAM_STAND_STILL_TRAFFIC,586
41.98,-87.66,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,584
41.98,-87.81,JAM,JAM_STAND_STILL_TRAFFIC,584
41.96,-87.71,JAM,JAM_HEAVY_TRAFFIC,577
41.87,-87.62,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,576
41.96,-87.76,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,573
41.95,-87.75,JAM,JAM_STAND_STILL_TRAFFIC,573
41.94,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,566
41.9,-87.66,JAM,JAM_HEAVY_TRAFFIC,565
41.98,-87.84,JAM,JAM_HEAVY_TRAFFIC,562
41.77,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,557
41.97,-87.72,JAM,JAM_HEAVY_TRAFFIC,557
41.94,-87.65,JAM,JAM_HEAVY_TRAFFIC,551
41.84,-87.66,JAM,JAM_STAND_STILL_TRAFFIC,551
41.87,-87.71,JAM,JAM_HEAVY_TRAFFIC,549
41.89,-87.62,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,549
41.87,-87.78,JAM,JAM_HEAVY_TRAFFIC,546
